brand,cashback,offer,details,url,source,date_time
"stylebop","4.0%","4.0% Cash Back","Get a great deal from See all Stylebop plus  4.0% Cash Back  from Ebates!","stylebop.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"surlatable","4.0%","4.0% Cash Back","Get a great deal from See all Sur La Table plus  4.0% Cash Back  from Ebates!","surlatable.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"veronicabeard","4.0%","4.0% Cash Back","Get a great deal from See all Veronica Beard plus  4.0% Cash Back  from Ebates!","veronicabeard.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"vince","4.0%","4.0% Cash Back","Get a great deal from See all Vince plus  4.0% Cash Back  from Ebates!","vince.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"waterford","4.0%","4.0% Cash Back","Get a great deal from See all Waterford.com plus  4.0% Cash Back  from Ebates!","waterford.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"wedgwood","4.0%","4.0% Cash Back","Get a great deal from See all Wedgwood plus  4.0% Cash Back  from Ebates!","wedgwood.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"yslbeautyus","4.0%","4.0% Cash Back","Get a great deal from Yves Saint Laurent Beauty plus  4.0% Cash Back  from Ebates!","yslbeautyus.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"alexisbittar","3.5%","3.5% Cash Back","Get a great deal from See all Alexis Bittar plus  3.5% Cash Back  from Ebates!","alexisbittar.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:47
"belstaff","3.5%","3.5% Cash Back","Get a great deal from See all Belstaff plus  3.5% Cash Back  from Ebates!","belstaff.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:47
"calvinklein","3.5%","3.5% Cash Back","Get a great deal from See all Calvin Klein plus  3.5% Cash Back  from Ebates!","calvinklein.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:47
"dianevonfurstenberg","3.5%","3.5% Cash Back","Get a great deal from Diane von Furstenberg DVF plus  3.5% Cash Back  from Ebates!","dianevonfurstenberg.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:47
"effyjewelers","3.5%","3.5% Cash Back","Get a great deal from See all Effy Jewelry plus  3.5% Cash Back  from Ebates!","effyjewelers.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:47
"frankandoak","3.5%","3.5% Cash Back","Get a great deal from See all Frank + Oak plus  3.5% Cash Back  from Ebates!","frankandoak.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:47
"halston","3.5%","3.5% Cash Back","Get a great deal from See all Halston Heritage plus  3.5% Cash Back  from Ebates!","halston.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:47
